Feature Model,Number of Features,Number of Mandatory Features,Number of Top Features,Number of Leaf Features, Depth of Tree Max,Cognitive Complexity of Feature Model,Feature Extensibility,Flexibility of Configuration,Single Cylic Dependent Features,Multiple Cyclic Dependent Features,Number of Features Referenced in Constraints Mean,Ratio of Variability,Number of Valid Configurations,Number of Groups OR,Number of Groups XOR, Maintainability
Electronic Drum,52,15,5,36,5,11,36,0.019230769230769232,0,0,0.0,2.2962962962962963,331776.0,0,11,bad
PhysEval,14,6,6,11,3,1,14,0.2857142857142857,0,3,2.0,3.5,54.0,1,0,verygood
IIoT,11,4,4,7,3,2,10,0.09090909090909091,2,1,1.0,2.0,17.0,1,1,verygood
Toko,56,18,9,37,5,10,37,0.19642857142857142,0,0,1.0,2.2413793103448274,2.322432E8,9,1,bad
Java EE 6 - Camilo Fierro,45,0,11,33,5,11,33,0.24444444444444444,0,0,0.0,2.391304347826087,1.0469376E9,7,4,bad
Toko,19,6,5,11,4,0,11,0.631578947368421,0,0,0.0,2.25,1600.0,0,0,good
Mobile Guide,51,20,12,29,6,0,29,0.5882352941176471,0,0,1.0,2.272727272727273,3.383808E7,0,0,verybad
SmartHotel,13,1,5,9,4,2,9,0.46153846153846156,0,0,1.0,2.3333333333333335,102.0,1,1,good
Owncloud,37,18,1,23,5,9,27,0.0,4,0,0.0,1.9565217391304348,512.0,0,9,bad
e-commerce,15,4,4,11,4,2,11,0.2,0,0,0.0,2.6666666666666665,213.0,1,1,good
Fórum de Discussão do AVA SOLAR,40,16,7,27,5,5,27,0.225,0,0,0.0,2.4444444444444446,82944.0,0,5,bad
pruebapalabras,14,4,3,8,4,3,8,0.07142857142857142,0,0,0.0,1.7777777777777777,72.0,2,1,good
NCV_Simulation,13,7,2,7,5,1,7,0.23076923076923078,0,0,0.0,1.8571428571428572,18.0,1,0,good
FM ERP-SPL,42,23,5,29,4,3,31,0.23809523809523808,0,2,1.0,2.75,4320.0,3,0,bad
SWAMP Platform,29,18,9,20,4,3,20,0.13793103448275862,0,0,0.0,2.5833333333333335,360.0,3,0,moderate
Torrent Client,29,2,12,21,3,6,25,0.3793103448275862,1,3,1.0,2.4285714285714284,147456.0,3,3,bad
HDD Seagate,27,5,6,20,3,6,36,0.037037037037037035,16,0,0.0,2.4615384615384617,560.0,1,5,good
Respaldo de base de datos (Poda),20,18,3,15,3,0,15,0.05,0,0,0.0,3.8,2.0,0,0,verygood
MarketPlace-Sample,13,10,4,10,2,0,10,0.15384615384615385,0,0,0.0,4.0,3.0,0,0,verygood
Equipo 6 - Uniandes - MP,62,43,7,49,4,2,49,0.20967741935483872,0,0,0.0,4.2,18624.0,0,2,moderate
UPL,11,3,2,7,6,2,7,0.18181818181818182,0,0,0.0,2.0,18.0,1,1,good
Ubuntu1410_TextSize,13,0,2,4,7,1,4,0.7692307692307693,0,0,0.0,1.3,60.0,0,1,verygood
Strategy Mobile Game,33,6,6,22,5,8,30,0.15151515151515152,6,2,1.0,2.1052631578947367,9198.0,1,7,bad
Web_Portal,43,8,5,28,5,6,35,0.3953488372093023,4,3,1.0,2.2857142857142856,2120800.0,3,3,bad
Meshing Tool Generator,40,6,12,28,3,11,37,0.2,4,5,0.0,2.1739130434782608,294912.0,5,6,moderate
StoreFrontSystem,22,8,7,15,6,4,15,0.18181818181818182,0,0,0.0,2.272727272727273,1216.0,4,0,moderate
ProfileItems,78,0,13,66,3,12,104,0.1794871794871795,25,13,2.0,3.7083333333333335,8.044546587E11,9,3,verybad
Counter Strike Simple Feature Model,24,4,3,17,4,5,20,0.125,0,3,1.0,2.3333333333333335,18176.0,5,0,moderate
LscSpecSemantics,17,5,4,10,4,5,10,0.058823529411764705,0,0,0.0,1.75,40.0,0,5,good
Visual Data Graph,18,4,5,13,3,3,13,0.2222222222222222,0,0,0.0,2.5,1792.0,2,1,verygood
NOVASOFT,49,48,3,45,2,0,45,0.0,0,0,0.0,12.0,1.0,0,0,verybad
ProductosCredito,38,14,2,25,9,5,29,0.15789473684210525,4,0,0.0,2.3333333333333335,12636.0,0,5,bad
Bike Computer Family,32,13,5,22,5,6,28,0.125,6,0,1.0,2.3125,240.0,0,6,bad
Stack PL,17,2,5,11,4,4,11,0.23529411764705882,0,0,0.0,2.0,432.0,1,3,moderate
Assistencia domiciliar,25,6,7,16,4,7,18,0.12,0,2,1.0,1.9375,5796.0,7,0,moderate
E-Shop_mjaved_UN,10,4,9,9,1,0,9,0.5,0,0,0.0,9.0,32.0,0,0,verygood
Web Game,16,6,6,9,3,2,9,0.3125,0,0,0.0,1.8888888888888888,60.0,2,0,verygood
Mobile Games,16,1,6,9,3,1,13,0.625,0,4,15.0,2.0,3645.0,1,0,verygood
IDE4OCL,18,7,7,15,4,1,15,0.3888888888888889,0,0,0.0,4.5,896.0,1,0,good
ScrollingText,27,7,7,19,3,7,30,0.0,4,7,1.0,2.2,1440.0,2,5,verygood
Reservation,12,0,1,9,6,3,9,0.0,0,0,0.0,2.3333333333333335,9.0,0,3,good
Cars xpto,15,4,2,8,5,4,8,0.13333333333333333,0,0,0.0,1.6363636363636365,72.0,2,2,good
Ubuntu1410_Contrast,43,6,4,25,7,5,25,0.27906976744186046,0,0,0.0,2.0434782608695654,13680.0,0,5,moderate
Navigation Protocol,16,7,6,11,4,3,11,0.0625,0,0,0.0,2.25,56.0,2,1,good
Autosoft,10,0,2,6,3,0,6,0.9,0,0,0.0,2.25,122.0,0,0,verygood
JCS,12,1,6,9,3,2,11,0.4166666666666667,0,2,0.0,2.6,96.0,1,1,verygood
Emergency Response Application,43,22,3,32,4,5,32,0.13953488372093023,0,0,0.0,2.9375,23040.0,4,1,bad
Connector PL,20,4,2,10,9,7,10,0.05,0,0,0.0,1.5294117647058822,18.0,1,6,good
e-banking-IN0980,55,3,9,41,5,11,44,0.14545454545454545,3,0,0.0,2.6,5.1702726656E11,9,2,bad
MLX,37,8,2,26,6,4,32,0.4594594594594595,1,5,0.0,2.6666666666666665,142970.0,1,3,bad
SPL SimulES - PnP,59,18,3,38,5,14,38,0.13559322033898305,0,0,0.0,2.057142857142857,4.1140224E7,1,13,bad
Simple e-shop,10,3,4,7,3,2,9,0.1,1,1,1.0,2.2,20.0,1,1,verygood
PetSof,21,16,3,15,3,0,15,0.19047619047619047,0,0,0.0,3.3333333333333335,12.0,0,0,verygood
Jogo,12,10,1,8,3,0,8,0.08333333333333333,0,0,1.0,2.75,2.0,0,0,verygood
Sastm,30,5,4,20,5,7,28,0.16666666666666666,0,8,0.0,2.1176470588235294,78240.0,7,0,moderate
MobileApps Multiplatform,29,5,3,23,4,2,30,0.41379310344827586,3,4,0.0,3.75,355688.0,1,1,verygood
RST Game,19,3,5,13,3,5,13,0.10526315789473684,0,0,0.0,2.090909090909091,1440.0,2,3,verygood
Eshop-ufrj,12,3,4,8,3,3,8,0.08333333333333333,0,0,0.0,2.0,48.0,2,1,verygood
TiendaEnLinea,24,5,8,20,3,2,20,0.5,0,0,1.0,4.166666666666667,15872.0,1,1,good
Text Editor,12,4,2,7,5,1,7,0.3333333333333333,0,0,1.0,2.0,11.0,0,1,good
Homepage based on wiki,13,5,2,8,4,2,8,0.23076923076923078,0,0,0.0,2.0,28.0,1,1,good
Online Bookstore,25,6,3,16,5,6,18,0.12,0,2,1.0,2.0,3168.0,3,3,moderate
Electronic Shopping,290,75,2,194,12,40,209,0.2827586206896552,0,15,0.0,2.4191176470588234,4.5204086093769845E49,40,0,bad
Wireless sensor actuator network,44,3,4,33,4,2,33,0.6363636363636364,0,0,0.0,3.4615384615384617,1.3441204224E10,2,0,verygood
Mobile Phone Software,10,2,4,7,3,2,10,0.2,2,1,1.0,2.2,14.0,1,1,verygood
E-commerce system,53,44,7,35,8,4,35,0.05660377358490566,0,0,0.0,2.5454545454545454,18.0,1,3,bad
MobileMedia_MarinaMB,15,7,3,9,3,1,10,0.4,1,0,1.0,2.142857142857143,24.0,0,1,verygood
Mobile Media v3,11,9,2,7,3,0,7,0.09090909090909091,0,0,0.0,2.5,2.0,0,0,verygood
GoPhone,77,40,18,57,5,1,57,0.44155844155844154,0,0,0.0,3.6666666666666665,1.70366976E9,0,1,bad
Smart Queue,13,4,6,9,5,6,9,0.15384615384615385,0,0,0.0,1.8,4.0,0,6,good
VMTools-RA,40,13,3,26,6,4,26,0.35,0,0,1.0,2.388888888888889,737280.0,3,1,verybad
Configurable Tank,24,9,3,14,4,6,16,0.08333333333333333,2,0,1.0,1.8125,108.0,1,5,moderate
OW2-FraSCAti-1.4,63,18,8,48,5,2,48,0.6190476190476191,0,0,0.0,3.764705882352941,1.6840776E9,0,2,bad
MobileMedia_BrunoMartins,16,6,3,10,3,2,10,0.25,0,0,0.0,2.125,140.0,1,1,verygood
Lucas - pnp,25,8,11,19,3,5,25,0.12,4,2,1.0,2.6363636363636362,4032.0,3,2,verygood
Mobile Phone,20,9,4,13,4,2,13,0.3,0,0,1.0,2.3333333333333335,162.0,1,1,good
Windows70_TextSize,16,14,1,6,6,0,6,0.0625,0,0,0.0,1.5,2.0,0,0,good
Loja Virtual,11,3,2,7,4,2,9,0.09090909090909091,0,2,1.0,2.0,56.0,2,0,good
Middle Office,16,14,5,10,3,0,10,0.0625,0,0,0.0,2.5,2.0,0,0,verygood
iNavBasic,15,12,6,7,3,0,7,0.13333333333333333,0,0,0.0,1.75,4.0,0,0,verygood
Amazon web services,18,1,1,13,5,4,13,0.0,0,0,0.0,2.3333333333333335,8191.0,4,0,good
SPL-Doctor Chat,34,5,9,24,4,7,24,0.20588235294117646,0,0,0.0,2.3529411764705883,2752512.0,6,1,moderate
modelo mobilemedia,16,10,3,10,3,1,11,0.1875,1,0,1.0,2.2857142857142856,12.0,0,1,verygood
Telecommunication_System,12,3,3,6,4,2,7,0.25,1,0,1.0,1.625,18.0,0,2,good
Monitor_Engine_System,17,10,2,11,4,2,12,0.058823529411764705,0,1,1.0,2.25,28.0,1,1,good
Marketplace para PYMES,31,19,8,22,2,0,22,0.3548387096774194,0,0,0.0,3.3333333333333335,960.0,0,0,moderate
OnlineExamPL,18,12,5,11,5,1,11,0.16666666666666666,0,0,1.0,2.25,10.0,1,0,bad
MobileMedia,10,2,4,7,3,1,7,0.4,0,0,0.0,2.5,30.0,0,1,verygood
UML-IDE-TOOL,14,2,3,11,4,1,11,0.6428571428571429,0,0,0.0,3.5,1536.0,1,0,verygood
Telefonia Celular,10,1,5,7,3,2,8,0.4,1,0,1.0,2.2,36.0,1,1,verygood
Eclipse Platform,29,0,4,20,5,3,20,0.6896551724137931,0,0,1.0,2.5833333333333335,983150.0,3,0,moderate
Gophone messaging,29,13,7,20,6,2,20,0.3103448275862069,0,0,1.0,2.727272727272727,9024.0,2,0,moderate
Sistem Informasi Rumah Sakit MIK,45,3,8,34,5,12,34,0.06666666666666667,0,0,0.0,2.4347826086956523,6.6028032E9,11,1,bad
STM 32,36,21,21,31,3,14,31,0.0,0,0,0.0,2.5789473684210527,1.0,14,0,verybad
Mobile Applications Contents,22,5,4,17,3,1,17,0.5,0,0,0.0,3.6666666666666665,5280.0,0,1,verygood
Mobile Media JULIO,14,6,3,9,3,1,10,0.42857142857142855,1,0,1.0,2.3333333333333335,24.0,0,1,verygood
J2EE web architecture,77,27,17,46,5,11,46,0.35064935064935066,0,0,0.0,2.0714285714285716,1.81398528E10,4,7,bad
Android60_Contrast,42,12,3,26,7,5,26,0.14285714285714285,0,0,0.0,2.1904761904761907,26400.0,0,5,verybad
NoEsCameron (SPL),25,11,7,18,4,3,24,0.2,0,6,1.0,2.7,840.0,3,0,bad
ISA11/12_pgr,19,5,6,13,3,4,20,0.15789473684210525,6,1,1.0,2.2,72.0,1,3,verygood
LPS Robot Industrial Arduino,38,9,2,25,6,10,25,0.07894736842105263,0,0,0.0,2.0434782608695654,187488.0,4,6,bad
bCMS system,66,33,2,44,6,8,44,0.18181818181818182,0,0,0.0,2.433333333333333,552960.0,2,6,verybad
Smart_Home,28,2,6,19,4,2,19,0.6785714285714286,0,0,1.0,2.6363636363636362,182280.0,1,1,moderate
mac,39,1,10,28,8,5,28,0.5641025641025641,0,0,0.0,2.6875,7302400.0,0,5,verybad
MiniRPG,13,8,2,7,3,0,7,0.3076923076923077,0,0,0.0,2.0,16.0,0,0,verygood
G10-music player,13,6,2,11,2,1,11,0.0,0,0,0.0,4.333333333333333,63.0,1,0,verygood
Applications,34,16,3,10,7,2,10,0.4411764705882353,0,0,2.0,1.3461538461538463,1944.0,2,0,verybad
FQAs v2 7ctcs,178,32,1,124,9,43,133,0.09550561797752809,2,7,0.0,2.268041237113402,2.934973779180551E24,14,29,verybad
FIRE-ALARM,19,4,2,10,6,7,16,0.0,6,0,1.0,1.5625,18.0,4,3,good
Voice Recording System,20,13,1,14,3,0,14,0.3,0,0,0.0,3.1666666666666665,64.0,0,0,verygood
Observatorio,11,5,2,4,6,2,4,0.2727272727272727,0,0,0.0,1.3333333333333333,8.0,2,0,verygood
Tienda Virtual PUJ,17,4,3,13,4,1,13,0.5294117647058824,0,0,0.0,3.4,816.0,0,1,verygood
Video On Demand FM,13,4,6,10,3,3,15,0.07692307692307693,2,3,0.0,2.5,16.0,2,1,verygood
Webshop_SPLE2014_Chalmers,11,5,6,8,3,2,10,0.09090909090909091,1,1,1.0,2.4,8.0,1,1,verygood
ISI bikes,96,13,23,72,3,21,88,0.16666666666666666,11,5,1.0,2.577777777777778,3.7156231224E13,5,16,verybad
Dummy Car,12,4,5,9,3,3,9,0.0,0,0,0.0,2.3333333333333335,9.0,0,3,verygood
JCalc_LPS,22,5,7,17,3,3,17,0.2727272727272727,0,0,0.0,3.0,1152.0,0,3,verygood
VOTE4ME Serveur,23,5,5,15,7,7,15,0.0,0,0,0.0,1.9333333333333333,810.0,4,3,good
MyHolidays,13,3,5,9,3,3,9,0.15384615384615385,0,0,0.0,2.142857142857143,112.0,1,2,verygood
Search_Engine_PL,14,2,4,10,4,2,11,0.35714285714285715,1,0,1.0,2.5,126.0,1,1,good
Reference Management Softwares Feature Model,31,7,4,23,4,4,24,0.2903225806451613,1,0,1.0,2.8333333333333335,245760.0,3,1,moderate
Match engine,10,3,7,8,3,2,8,0.4,0,0,0.0,2.75,16.0,1,1,verygood
Congress Assistant,12,2,4,8,5,3,8,0.16666666666666666,0,0,0.0,2.0,48.0,1,2,moderate
Help System,25,6,6,17,5,7,20,0.0,0,3,1.0,2.066666666666667,1008.0,1,6,moderate
Toko,49,17,7,32,5,9,32,0.14285714285714285,0,0,1.0,2.1923076923076925,9031680.0,8,1,bad
UPT TAM,15,5,2,8,5,4,8,0.06666666666666667,0,0,0.0,1.6363636363636365,40.0,2,2,good
MLX,37,8,2,26,6,4,32,0.4594594594594595,1,5,0.0,2.6666666666666665,142970.0,1,3,bad
RTBB,29,11,5,19,4,5,19,0.034482758620689655,0,0,0.0,2.2,44100.0,4,1,moderate
Reuso - UFRJ - Eclipse1,72,17,7,47,5,7,49,0.5555555555555556,2,0,1.0,2.4375,2.2552880544E10,0,7,bad
User Model,14,3,7,11,3,2,13,0.2857142857142857,2,0,1.0,3.0,144.0,1,1,verygood
GymManager,22,9,9,15,4,2,15,0.36363636363636365,0,0,0.0,2.5555555555555554,540.0,1,1,moderate
Software-Product,19,9,9,12,2,0,12,0.47368421052631576,0,0,0.0,2.5714285714285716,512.0,0,0,verygood
Mobile Media_LeonardoSilva,16,7,3,10,3,1,10,0.375,0,0,1.0,2.2857142857142856,48.0,0,1,verygood
Ubuntu1204_Contrast,49,10,3,30,7,5,30,0.1836734693877551,0,0,0.0,2.2083333333333335,5776.0,0,5,verybad
Cruise Control SPL,19,4,4,14,3,2,16,0.42105263157894735,0,2,0.0,2.857142857142857,776.0,2,0,verygood
body comfort system,27,6,3,17,4,2,21,0.4444444444444444,1,3,0.0,2.3333333333333335,11616.0,1,1,verygood
Swap MArketplace,43,26,7,34,3,0,34,0.37209302325581395,0,0,1.0,4.666666666666667,2376.0,0,0,verybad
SimulesSPLBruno,19,15,4,13,3,0,13,0.15789473684210525,0,0,0.0,3.0,8.0,0,0,verygood
Software-Product,15,6,6,9,2,0,9,0.5333333333333333,0,0,0.0,2.3333333333333335,256.0,0,0,verygood
SOLAR VLE Discussion Forum,40,16,7,27,5,5,36,0.225,9,0,0.0,2.4444444444444446,13056.0,0,5,bad
MISO Uniandes 201411102,17,8,4,12,2,0,12,0.47058823529411764,0,0,0.0,3.2,120.0,0,0,verygood
Bike Computer,37,19,2,23,5,5,23,0.13513513513513514,0,0,1.0,2.1578947368421053,8064.0,3,2,bad
Audio Player,15,9,2,9,4,1,9,0.2,0,0,0.0,2.142857142857143,12.0,0,1,good
Android51_TextSize,33,8,2,22,7,5,22,0.030303030303030304,0,0,0.0,2.3125,480.0,0,5,moderate
Control Biometrico,35,14,9,23,5,6,27,0.2,1,3,0.0,2.2222222222222223,23040.0,5,1,bad
AmazonEC2,35,2,3,24,6,9,29,0.14285714285714285,5,0,1.0,2.15,1758.0,0,9,bad
IOS5_TextSize,16,5,1,7,6,1,7,0.375,0,0,0.0,1.6,76.0,0,1,verygood
SmartTV,96,13,16,76,4,14,76,0.1875,0,0,0.0,3.2058823529411766,4.6766358422784E16,7,7,bad
SlotsAndModules,28,5,2,18,4,7,36,0.14285714285714285,18,0,0.0,2.0,6.0,0,7,moderate
Sistema de Informes por movil,28,6,8,21,3,6,35,0.07142857142857142,10,4,0.0,2.5384615384615383,534.0,2,4,bad
Mobile Media until relase 7,17,9,3,12,3,1,12,0.23529411764705882,0,0,0.0,2.8333333333333335,112.0,1,0,verygood
CIMS PL,10,9,5,8,2,0,8,0.0,0,0,0.0,4.5,1.0,0,0,verygood
MayaVariabilityModel,54,36,9,45,4,4,45,0.09259259259259259,0,0,1.0,4.384615384615385,5544.0,2,2,bad
ATM Software,29,7,3,23,4,3,23,0.41379310344827586,0,0,0.0,3.4444444444444446,43008.0,1,2,verygood
ScrollingText,29,9,7,19,4,7,30,0.0,8,3,0.0,2.0588235294117645,192.0,1,6,moderate
Student Attendance System,23,5,5,17,3,5,21,0.0,2,2,1.0,2.4545454545454546,15210.0,3,2,verygood
B2B Website,24,18,3,18,4,0,18,0.20833333333333334,0,0,0.0,3.8333333333333335,32.0,0,0,moderate
U-learning System,24,3,4,16,5,3,16,0.5,0,0,0.0,2.3636363636363638,59584.0,3,0,verygood
Car PL,14,2,4,9,4,2,10,0.42857142857142855,1,0,1.0,2.142857142857143,88.0,0,2,good
Virtual_Office_of_the_Future,14,6,3,8,5,1,8,0.35714285714285715,0,0,0.0,2.0,48.0,0,1,verygood
Micro Test,95,4,4,82,7,12,82,0.0,0,0,0.0,4.24,6.044629098073146E23,12,0,verybad
MobiLine,17,8,4,9,5,2,11,0.17647058823529413,0,2,1.0,1.8,112.0,2,0,moderate
Jogo de Engenharia de Software,20,5,6,16,4,3,17,0.35,1,0,1.0,3.142857142857143,896.0,1,2,good
TW SPL Hard Choices,12,9,2,9,2,0,9,0.16666666666666666,0,0,0.0,3.6666666666666665,4.0,0,0,verygood
Smartwatch,14,4,2,10,4,3,10,0.42857142857142855,0,0,0.0,2.2857142857142856,64.0,0,3,verygood
DeReTiYo,31,11,8,23,4,5,23,0.16129032258064516,0,0,0.0,2.6923076923076925,11520.0,2,3,bad
DelayBlockSemSpec,23,8,7,16,3,1,23,0.30434782608695654,7,0,0.0,2.875,41.0,0,1,verygood
GoPhone Inc,16,0,5,10,3,0,10,0.9375,0,0,0.0,2.5,3150.0,0,0,verygood
Inmobiliaria,37,15,3,28,6,3,28,0.35135135135135137,0,0,1.0,3.25,60480.0,2,1,bad
Parking lot Manager,13,5,4,8,4,1,9,0.38461538461538464,1,0,1.0,2.1666666666666665,16.0,0,1,good
Premium1Nemocon,32,4,8,21,5,10,21,0.125,0,0,0.0,1.9523809523809523,1128960.0,7,3,moderate
SIGA-lctf-fta,17,7,8,12,5,3,12,0.11764705882352941,0,0,0.0,2.375,196.0,3,0,moderate
Automotive system,31,8,5,20,6,8,31,0.0967741935483871,9,2,0.0,2.0,1344.0,1,7,moderate
VODPlayer,11,3,6,8,3,1,8,0.45454545454545453,0,0,0.0,2.75,48.0,0,1,verygood
Android51_Contrast,41,12,3,25,7,5,25,0.12195121951219512,0,0,0.0,2.142857142857143,13200.0,0,5,verybad
Android60_TextSize,10,2,2,5,4,1,5,0.3,0,0,0.0,1.6666666666666667,16.0,0,1,verygood
Sisgeo,16,3,3,12,4,2,14,0.125,0,2,1.0,2.8333333333333335,1337.0,2,0,good
SmartPhone Device,17,4,7,12,3,4,17,0.17647058823529413,5,0,2.0,2.2222222222222223,192.0,0,4,verygood
